"ensembl","symbol","direction","program_rank","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000168333","PPDPFL","up_in_WHO_II_vs_I",72,40.9632139261715,2.61054544466181,4.88809003445158,1.01818966235878e-06,5.59264964957439e-05
"ENSG00000118785","SPP1","up_in_WHO_II_vs_I",73,2973.31658378653,1.5873086167661,4.88305347232738,1.04455529659999e-06,5.70197968607931e-05
"ENSG00000123838","C4BPA","up_in_WHO_II_vs_I",74,6.8805150110788,2.73784575387142,4.88257301938763,1.04710444879802e-06,5.70413380286578e-05
"ENSG00000231793","ENSG00000231793","up_in_WHO_II_vs_I",75,8.57774027875964,1.06569624881972,4.85429058224949,1.20818468451095e-06,6.41015822092731e-05
"ENSG00000261211","ENSG00000261211","up_in_WHO_II_vs_I",76,18.232280798043,2.13512999568445,4.83638850680658,1.32219379197925e-06,6.85030932341498e-05
"ENSG00000160957","RECQL4","up_in_WHO_II_vs_I",77,102.973161689556,1.0036316471316,4.83451760907569,1.33468890634833e-06,6.90154078038516e-05
"ENSG00000143228","NUF2","up_in_WHO_II_vs_I",78,70.636353394459,1.14632482166363,4.82638643780213,1.39032612261389e-06,7.11970678843381e-05
"ENSG00000232445","ENSG00000232445","up_in_WHO_II_vs_I",79,2.29066416484627,2.20726684026396,4.81503183348765,1.47176426255042e-06,7.39053573770477e-05
"ENSG00000010310","GIPR","up_in_WHO_II_vs_I",80,22.3283516006082,1.5326709326461,4.81357336826313,1.48255136358022e-06,7.40576365109178e-05
"ENSG00000143476","DTL","up_in_WHO_II_vs_I",81,137.789472822283,1.27677461808394,4.80942769310909,1.51363035420698e-06,7.47637381112496e-05
"ENSG00000236947","ENSG00000236947","up_in_WHO_II_vs_I",82,3.11943032738031,1.38458935196867,4.79512065370879,1.62576949413418e-06,7.89766006554171e-05
"ENSG00000163462","TRIM46","up_in_WHO_II_vs_I",83,85.4104099659613,1.2230267087238,4.79238868024133,1.64807220795689e-06,7.96712536653198e-05
"ENSG00000154920","EME1","up_in_WHO_II_vs_I",84,45.4921008837302,1.00518045455269,4.78460705848563,1.71322162662804e-06,8.21694611684373e-05
"ENSG00000231394","ENSG00000231394","up_in_WHO_II_vs_I",85,5.47341608271301,1.80386980362776,4.77786916630004,1.77162588220422e-06,8.4359343941289e-05
"ENSG00000071539","TRIP13","up_in_WHO_II_vs_I",86,77.6158119004068,1.00366367974164,4.77167252944345,1.82702382495034e-06,8.63758138670717e-05
"ENSG00000107518","ATRNL1","up_in_WHO_II_vs_I",87,48.2695317797722,1.46260626104498,4.76685452920048,1.87124314888671e-06,8.76834732155322e-05
"ENSG00000186714","CCDC73","up_in_WHO_II_vs_I",88,17.1914154552732,1.41702064710961,4.7579288588561,1.95589401002122e-06,9.08461296759855e-05
"ENSG00000229637","PRAC2","up_in_WHO_II_vs_I",89,7.29895428210493,3.28727376385171,4.7558688688409,1.97594705005401e-06,9.12970299305059e-05
"ENSG00000223466","LINC01825","up_in_WHO_II_vs_I",90,2.23483239148592,2.5311531490034,4.75199025756618,2.0142408027988e-06,9.27426526158229e-05
"ENSG00000213901","SLC23A3","up_in_WHO_II_vs_I",91,50.9418837161174,1.1361984541981,4.73553182356218,2.18481417449643e-06,9.90461562838922e-05
"ENSG00000162073","PAQR4","up_in_WHO_II_vs_I",92,134.541717332341,1.10035043515795,4.71217950487864,2.4508134472475e-06,0.000107719571990598
"ENSG00000169385","RNASE2","up_in_WHO_II_vs_I",93,64.7079319934825,1.49542418634562,4.71222490872808,2.45026729854961e-06,0.000107719571990598
"ENSG00000166803","PCLAF","up_in_WHO_II_vs_I",94,81.4206939154184,1.30316734553184,4.68746752903151,2.76606571185053e-06,0.000117626556716129
"ENSG00000004848","ARX","up_in_WHO_II_vs_I",95,3.2314441119578,3.02573271798251,4.68481006935265,2.80219658127767e-06,0.000118190574150332
"ENSG00000118194","TNNT2","up_in_WHO_II_vs_I",96,3346.62074771097,1.59553169714691,4.68345581733602,2.82078278136898e-06,0.000118522474896047
"ENSG00000172927","MYEOV","up_in_WHO_II_vs_I",97,73.5818487457117,1.56694821362967,4.67870019048833,2.88699213780612e-06,0.000120177856679901
"ENSG00000156509","FBXO43","up_in_WHO_II_vs_I",98,16.5370924094863,1.03988347494683,4.67202850460412,2.98239557280138e-06,0.000122607022965709
"ENSG00000244752","CRYBB2","up_in_WHO_II_vs_I",99,37.2581486403861,1.21138042229114,4.65744280074249,3.20161336567879e-06,0.000129211454049308
"ENSG00000165186","PTCHD1","up_in_WHO_II_vs_I",100,18.7591673961083,2.3902626122024,4.65396869847698,3.256062540484e-06,0.000130810706766789
"ENSG00000186867","QRFPR","down_in_WHO_II_vs_I",1,466.787499568497,-4.40947250211732,-8.38846719761934,4.92521446931264e-17,4.4583152049798e-13
"ENSG00000186766","FOXI2","down_in_WHO_II_vs_I",2,74.0956698950203,-3.58712802254891,-8.11634738818808,4.80424202575032e-16,3.17980769079349e-12
"ENSG00000237096","ENSG00000237096","down_in_WHO_II_vs_I",3,22.6834620856243,-5.47921780240428,-8.03107197189099,9.66246461508574e-16,5.1162750136879e-12
"ENSG00000143195","ILDR2","down_in_WHO_II_vs_I",4,430.077009866995,-3.82075203136673,-7.65255713951413,1.97021514717326e-14,6.50430448289548e-11
"ENSG00000137766","UNC13C","down_in_WHO_II_vs_I",5,39.477670513276,-4.45675548614413,-7.49187732260625,6.78953703309742e-14,1.79752992951254e-10
"ENSG00000070193","FGF10","down_in_WHO_II_vs_I",6,61.2494976699353,-4.28404988567948,-7.38657449558313,1.50659754793621e-13,2.4929481301007e-10
"ENSG00000162551","ALPL","down_in_WHO_II_vs_I",7,6197.45869179918,-2.68458688610033,-7.38954838157923,1.4732835320692e-13,2.4929481301007e-10
"ENSG00000163993","S100P","down_in_WHO_II_vs_I",8,70.0382688955477,-3.89069741549857,-7.40391497631592,1.32227102475324e-13,2.4929481301007e-10
"ENSG00000248485","PCP4L1","down_in_WHO_II_vs_I",9,32.6851288321115,-3.73253504076749,-7.40534455399817,1.30810385166519e-13,2.4929481301007e-10
"ENSG00000145242","EPHA5","down_in_WHO_II_vs_I",10,126.983052176916,-4.36004602369183,-7.22772611291797,4.91147973592678e-13,6.84375926361376e-10
"ENSG00000144290","SLC4A10","down_in_WHO_II_vs_I",11,494.190295052978,-4.04447106128401,-7.06495852716546,1.60663970497134e-12,1.7723244245465e-09
